OrganizationId,Status,Name,Address,City,State,Zip,Country,Phone,Fax,Email,OrgUrl,FacebookUrl,OrgType,OrgSpecies,ServeAreas,AdoptionProcess,MeetPets,Services,AllowC/Users/jessicamalloy/Documents/workspace/PawMatch/data-in/organizations.csvommonApp,MessageOrg
70,Available,"Atlantic Rottweiler Rescue Foundation",,Mooresville,NC,28117,"United States",,,arrf@arrfnc.com,www.arrfnc.com,https://www.facebook.com/pages/Atlantic-Rottweiler-rescue-Foundation/77129303881?,Rescue,,,,"By appointment only",Adoptions,No,"Yes"
71,Available,"The Cat Corner, Inc.","85 Fulton Street",Hampton,VA,23663,"United States","(757) 722-0590",,info@thecatcornerinc.com,http://www.thecatcornerinc.com,https://www.facebook.com/TheCatCornerInc,Rescue,,"Southeastern Virginia","We take great pride in finding good homes for the cats and kittens in our care. Please take the time to review the information on our this page. It will help you make the right selection for your household. When you adopt a cat, keep in mind that you? ll be making a commitment that will last the lifetime of the cat? perhaps 10, 15, or 20 years. Since your new cat will be with you for many years to come, our volunteers want to help you find the perfect cat to fit your lifestyle. Please visit our shelter to see what cats are currently waiting for a home and which would be the best match for your lifestyle. Learn more at: www.thecatcornerinc.com/adoption-process","Hours of Operation:. ?╟∩Open: Tue-Sat 10am-2pm . Closed: Sun & Mon",adoptions,No,"Yes"
77,Available,"Happy Cat Adoptions","P.O. Box 41445",Houston,TX,77241-1445,"United States","(713) 385-1798",,adoptme@happycatadoptions.org,http://www.happycatadoptions.org/,https://www.facebook.com/happycatadoptions?ref=stream,Rescue,,"Greater Houston area","Application, interview, contract, and donation","By appointment only. Please call or email us.","Adoptions, TNR, assistance when funds available",No,"Yes"
81,Available,"Animal Advocates of Howard County","PO Box 1403","Ellicott City",MD,21041,"United States","(410) 880-2488",,,,,Shelter,,,,,,No,"Yes"
82,Available,"The Spayed Club","PO Box 1147",Oaks,PA,19456,"United States","(484) 540-8436",,info@thespayedclub.org,http://www.thespayedclub.org,,Rescue,,,,,spay/neuter,No,"Yes"
84,Available,"The Dogs' Den","127 San-Jo Drive",Grantville,PA,17028,"United States","(717) 469-7325",,Doggieden@aol.com,http://thedogsden.rescuegroups.org,,Rescue,,,,,,No,"Yes"
86,Available,"Greyhound Friends of NJ, Inc.","PO BOX 4416","Cherry Hill",NJ,08034-0669,"United States","(732) 356-4370",,info@greyhoundfriendsnj.org,http://www.greyhoundfriendsnj.org,https://www.facebook.com/pages/Greyhound-Friends-of-NJ-Inc/162418370481034,Rescue,,,,,,No,"Yes"
92,Available,"Lucky Mutts Rescue","P.O. Box 4344",Austin,TX,78765,"United States",,,info@luckymutts.com,http://http://www.luckymutts.com,,Rescue,,,,,,No,"Yes"
93,Available,"It's All About The Cats, Inc","PO Box 141443",Orlando,FL,32814-1443,"United States","(321) 329-3101",,IAATCI.FL@gmail.com,http://www.itsallaboutthecats.org,www.facebook.com/IAATC.inc,Rescue,,"central florida","contract required, fees vary",,adoptions,No,"Yes"
94,Available,"REGAP of Illinois, Inc.","4107 E. 3rd Road",Mendota,IL,61342,"United States","(815) 538-3647",,regap1@juno.com,http://regapgreyhounds.org,https://www.facebook.com/regapofillinois/,Rescue,,Illinois,"Adoption application","Mendota, Illinois by appointment only regap1@juno.com","Adoptions, Rescue",No,"Yes"
98,Available,"Independent Cat Society","P.O. Box 735",Westville,IN,46391,"United States","(219) 785-4936",,shelter@catsociety.org,http://www.catsociety.org,http://www.facebook.com/IndCatSociety,Shelter,,"Lake, Porter, LaPorte, St. Joseph County, Indiana. Berrien County, Michigan. Chicagoland area","No same-day adoptions; adoption contract with approval, $75 fee includes all vaccinations, spay/neuter - see catsociety.org  for application download and specific requirements","Saturdays 10am - 4pm. Sundays 1pm - 4pm. Shelter is located at 4061 County Line Road Westville, IN 46391","TNR, adoptions, spay/neuter assistance",No,"Yes"
99,Available,"Second Chance Rescue","110 Bimini Lane",Bunnell,FL,32110,"United States",,,bpdebig@aol.com,http://Second-Chance-Rescue.org,,Rescue,,,,,,No,"Yes"
103,Available,"Michigan Pug Rescue","23927 Wesley",Farmington,MI,48335,"United States","(248) 473-8389",,pugluv@michiganpugrescue.com,,,Rescue,,,,,,No,"Yes"
105,Available,"Benevolent Animal Rescue Committee, Inc","Post Office Box CD","Cherry Valley",CA,92223,"United States","(951) 845-1513",,,http://www.barconline.com,,Rescue,,,,,,No,"Yes"
110,Available,"Candy's Cats, Inc.","P. O. Box 608444",Orlando,FL,32860-8444,"United States","(407) 760-2052",,candyscats@gmail.com,www.candyscats.org,http://www.facebook.com/#!/CandysCatsInc,Rescue,,"Orange, Seminole County","We have an application that we email to people to streamline the process.  When you have completed the application and either scan/email it back or fax it to us for further processing, we will get in touch with you to set up an appointment or to ask questions for clarification.  Often times we wait until the adoption venues are open to further the adoption process.  If approved for adoption, a legally binding contract is completed, signed by both parties.  . . All cats must leave the store in a carrier.  No cats can be carried out of the store without a carrier.  ","Adoption venues on the weekend or by appointments.","Adoptions; All cats are spayed/neutered, tested for leukemia & aids, vaccinated, dewormed",No,"Yes"
112,Available,"Animal Rescue Force of South Florida, Inc.","5115 South Dixie Highway","West Palm Beach",Fl,33405,"United States","(561) 586-2126",,info@animalrescueforce.org,www.animalrescueforce.org,www.facebook.com/arfsouthflorida,Rescue,,"Palm Beach County","Potential adopters must complete an adoption application and be interviewed by an adoption counselor.  Animals are spayed/neutered, microchipped, tested for diseases, and up to date on vaccines.  Adopters must sign a contract, pay an adoption fee, and agree to register the animal's microchip. A home check may be required and references may be checked. ","Many of our animals are in foster homes and some are at our Adoption Center in West Palm Beach. We also have cats at the PetSmart in Delray Beach and at a few PetSupermarkets in Palm Beach County. ",Adoptions,No,"Yes"
114,Available,"Big Sky Rottweiler Rescue","P.O. Box 1052",Mills,WY,82644,"United States",,,info@bigskyrottrescue.org,http://www.bigskyrottrescue.org,,Rescue,,,,,,No,"Yes"
118,Available,"Mid Hudson Animal Aid","54 Simmons Lane",Beacon,NY,12508,"United States","(845) 831-4321",,info@midhudsonanimalaid.org,http://www.midhudsonanimalaid.org,,Shelter,,,,,,No,"Yes"
119,Available,"California Animal Shelter Friends, Inc.","34511 Highway 16",Woodland,CA,95695,"United States","(530) 662-4989",,cashelterfriends@yahoo.com,http://casf.rescuegroups.org,,Rescue,,,,,,No,"Yes"
121,Available,"Dane County Friends of Ferals","627 Post Road ",Madison,WI,53713,"United States","(608) 467-4067",,info@daneferals.org,www.daneferals.org,http://www.facebook.com/dcfof,Shelter,,"Dane County","For more information visit http://www.daneferals.org/info/adoption",www.daneferals.org,"Adoptions, spay/neuter",No,"Yes"
122,Available,"Papillon 911 Rescue and Adoption, Inc.","PO Box 682225",Marietta,GA,30068-0038,"United States",,,Haven4Paps@aol.com,http://www.pap911rescue.org,https://www.facebook.com/Pap911Rescue,Rescue,,"We have representatives and foster homes nationwide. Central shelter is located in Marietta GA.","We have an extensive application including personal and vet references, visits with the foster home and home visits with the applicant. We use a carefully written contract for the protection of our rescue dog's future. A donation is expected dependent upon the age and health of the Papillon rescue.","All our rescued dogs are living in private foster homes. Therefore we require an approved application or personal invitation prior to an applicant visit.","Rescue, Adoption, Sanctuary",No,"Yes"
124,Available,"Paws Animal Rescue, Inc.","P.O. Box 816",Alvin,TX,77512,"United States",,,paws@oplink.net,http://www.pawsrescue.org,http://www.facebook.com/#!/pages/Paws-Animal-Rescue-Inc/10150111517765245,Rescue,,"Harris County, Brazoria County, Galveston County, Fort Bend County","Every potential Adopter must fill out an adoption application, fees vary due to species, size, breed, etc... and contract must be signed and abided by.","Once an adoption application is completed, a volunteer contact the potential adopter.  They can either wait until adoption day at PetSmart or the foster will bring the pet to meet them, or they can come to the foster home to meet the pet.","Adoptions, spay/neuter assistance, behavioral education, medical assistance and/or information",No,"Yes"
126,Available,"Northeast Animal Rescue","Po Box 52395",Philadelphia,PA,19115,"United States",,,narcats@gmail.com,http://nar.rescuegroups.org,https://www.facebook.com/NARcats,Rescue,,,,,"education on feral cats, how to trap, neuter and release, adoptions, ",No,"Yes"
129,Available,"Pet Haven Rescue Inc Murrieta",,Murrieta,CA,92563,"United States","(951) 698-0940",,pethavenrescue@aol.com,http://pethavenrescue.rescuegroups.org,,Rescue,"dogs and gats puppies and kittens",,,,,No,"Yes"
135,Available,"Save A Yorkie Rescue, Inc.",,"West Milton",PA,17886,"United States","(570) 768-5886",,shilo43@hotmail.com,http://www.saveayorkierescue.org,,Rescue,"Yorkshire Terriers","We cover PA, NJ, MD, DE, some Virginia, some CT, western NY","We ask for a $25 processing fee. We require people to have a vet history, dog experience, and time to work with a dog.  ","After they are approved, they drive to meet the dog at the foster's home.",Adoptions,No,"Yes"
136,Available,"Pet Rescue of Maryland","PO Box 178",Monkton,MD,21111,"United States","(410) 472-1172",,info@petrescueofmd.org,http://www.petrescueofmd.org,,Rescue,"cats/dogs puppies/kittens",,,,,No,"Yes"
141,Available,"Save The Cats Inc","P.O. Box 463",Furlong,PA,18925,"United States","(215) 493-1158",,admin@savethecatsinc.com,http://www.savethecatsinc.com,http://www.facebook.com/pages/Furlong-PA/Save-The-Cats-Inc/418375517984,Rescue,Cats,"Lower Bucks County, PA",,,Adoptions,No,"Yes"
142,Available,"Rainbow Animal Rescue, Inc",,Norfolk,VA,23518,"United States","(757) 583-8777",,rainbowanimalrescue@cox.net,http://rainbowanimalrescue.rescuegroups.org,http://www.facebook.com/RainbowAnimalRescueVA,Rescue,"dogs at this time, later cats","Hampton Roads, Virginia","We require an adoption application. We do home checks, vet checks, and reference checks. If approved, the adopter signs a contract.","As we don't have a shelter, we go to various animal supply stores like Care-A-Lot, PetSmart and Petco to show our dogs. ",Adoptions,No,"Yes"
147,Available,"Animal Rescue of Texas","4447 N. Central Expwy. Suite 110, PMB 116",Dallas,TX,75205,"United States","(214) 276-7802",,artadoptions@animalrescueoftexas.org,http://www.animalrescueoftexas.org,,Rescue,"Moslty dog",,,,,No,"Yes"
151,Available,"Community Animal Rescue Effort (CARE)","PO Box 1234",Columbus,IN,47202,"United States","(812) 344-4164",,ColumbusCARE@gmail.com,http://care.rescuegroups.org,https://www.facebook.com/pages/Community-Animal-Rescue-Effort-CARE/169329719747708,Rescue,"Dogs and Cats","Bartholomew and surrounding","Refer to website for details","We have adoption events 3 times a month. Please also refer to our events calendar: . http://care.rescuegroups.org/info/events","Adoptions, Fostering, Spay / Neuter",No,"Yes"
152,Available,"Eskie Rescuers United, American Eskimo Dog Rescue, Inc.","Mailing (not physical) address: 8620 Allenswood Rd",Randallstown,MD,21133-4606,"United States",,,contact@eskierescuers.org,http://www.eskierescuers.org,http://www.facebook.com/EskieRescuersUnited,Rescue,dogs,,,,,No,"Yes"
156,Available,"Midwest Doberman Rescue of St. Louis","PO Box 406","St. Charles",MO,63302,"United States",,,,,,Rescue,"Dogs (Doberman Pinscher)",,,,,No,"Yes"
159,Available,"Central Valley Rescue Railroad","PO Box 44",Lindsay,Ca,93247,"United States","(559) 799-1775",,cvrr@cvrr.us,,,Rescue,"dogs and cats",,,,,No,"Yes"
163,Available,"Tanya's Adoption Network 4 Young Animals, Inc. (T.A.N.Y.A.'s, Inc.)","P. O. Box 290254",Phelan,CA,92329,"United States","(909) 522-3333",,tanyasinc@msn.com,http://www.tanyasinc.org,,Rescue,"dogs and cats, occassional exotics or livestock",,,,,No,"Yes"
175,Available,"Raining Cats 'n' Dogs","PO Box 991972",Redding,CA,96099-1972,"United States","(530) 232-6299",,info@itsrainingcatsndogs.org,http://rainingcatsndogs.rescuegroups.org,http://www.facebook.com/?sk=welcome#!/pages/Raining-Cats-N-Dogs/194450380575016,Rescue,"Cats, dogs",,,,,No,"Yes"
179,Available,"Where Wolves Rescue","30040 N 167th Ave ","Surprise ",AZ,85387,"United States","(623) 546-9653",,pangaya@msn.com,"http://www.wolfcountry.com/Where_Wolves_Rescue/index.html ",,Rescue,"Wolf Hybrids, Domestic Wolves, Dogs, Cat rescues, Animal shelters , and wildlife. ",,,,"Wolf dog and Domestic wolf rescue, refuge , education, placement.",No,"Yes"
184,Available,"NE Ohio Greyhound Rescue",,Geneva,OH,44041,"United States","(440) 364-4838",,info@neogreyhound.com,http://www.neogreyhound.com,https://www.facebook.com/pages/NE-Ohio-Greyhound-Rescue-Inc/107791709242823?ref=hl,Rescue,"retired racing greyhounds","OH, Western PA and Western NY primarily","See website for details","Scheduled meet and greets and by appointment","adoptions, complete vet work, pre and after adoption support",No,"Yes"
185,Available,"Gold Ribbon Rescue","PO Box 956",Austin,TX,78767,"United States","(512) 659-4653",,info@grr-tx.com,http://www.grr-tx.com,,Rescue,"Dogs - Golden Retriever specific",,,,"rescue, adoption",No,"Yes"
194,Available,"Carolina Dal Pals Dalmatian Rescue",,Wilmington,NC,28408,"United States",,,dalirious@dalpals.org,http://www.dalpals.org,,Rescue,"Dogs - Dalmatians and Dalmatian Mixes",,,,Adoptions,No,"Yes"
195,Available,"AuCaDo Australian Cattle Dog Rescue MI","3861 12 Mile Rd",Remus,MI,49340,"United States","(989) 330-5147",,cowdogrescue@gmail.com,http://www.cowdogrescue.com,,Rescue,Dogs,,,,Adoptions,No,"Yes"
197,Available,"Akita Rescue MidAtlantic Coast, Inc.",,Woodbridge,VA,22193,"United States","(703) 730-0844",,info@akitarescue.org,http://www.akitarescue.org,www.facebook.com/akitarescue.org,Rescue,dogs,"Washington DC, Northern Virginia","Please visit http://akitarescue.rescuegroups.org/info/adoption for detailed adoption procedures.","All of our Akitas are cared for in foster homes.  ","adoptions, educations, support",No,"Yes"
202,Available,"Wendy's Feline Friends","1228 Holly Vista Drive","Colonial Beach",VA,22443,"United States","(804) 224-1079",,wendysfelinefriends@yahoo.com,http://www.wendysfelinefriends.org,,Shelter,cats,,,,"rescue, rehabilitation, spay/neuter, adoptions",No,"Yes"
204,Available,"Second Chance Animal Rescue","RR2 Box 128",Vandalia,IL,62471,"United States","(618) 283-0898",,dobe2@sbcglobal.net,,,Rescue,dogs,,,,adoptions,No,"Yes"
206,Available,"Big Lick Ferret Shelter & Hospice",,Roanoke,VA,24017,"United States",,,director@biglickferretshelter.com,http://www.biglickferretshelter.com,https://www.facebook.com/groups/blfsh/,Shelter,ferrets,"30 mile radius of Roanoke, VA ","We require an adoption application be filled out first, then an interview is conducted.  A home visit is required before any placement to ensure the environment where the ferret will be is safe & properly equipped.","Ferret meet & greets are done at the shelters fundraising booth, Weasel Wares Ferret Boutique, at Happy's Flea Market on Saturday's between 9am - 3pm.","Bite & behavior modification, adoptions, owner education, ferret/owner conflict resolution",No,"Yes"
207,Available,"Columbia County Animal Control","2084 Oregon Street","Saint Helens",OR,97051,"United States","(503) 397-3935",,animal.control@co.columbia.or.us,http://www.co.columbia.or.us/sheriff,,Shelter,dogs,,,,"Adoptions, neglect cases, abuse cases, ",No,"Yes"
208,Available,"Collie Rescue, Inc","P.O. Box 221982",Chantilly,VA,20153,"United States","(703) 579-9931",,info@savecollies.org,http://www.savecollies.org,https://www.facebook.com/CollieRescueInc,Rescue,"Collie dogs (and other animals that find their way into our care)","All of Virginia and Maryland",,,Adoptions,No,"Yes"
220,Available,"Cut Bank Animal Shelter","113 East Main","Cut Bank",MT,59427-2918,"United States","(406) 391-2273",,cutbankanimalshelter@hotmail.com,http://www.petfinder.com/shelters/MT38.html,,Shelter,"cats, dogs",,,,"adoptions, rescues, transports, obedience classes, pet education",No,"Yes"
222,Available,"Tennessee Pekingese Rescue","Box 67",Oakdale,TN,37829,"United States","(423) 369-3770",,jjwagoner@highland.net,,,Rescue,"peke/peke mixes",,,,adoptions,No,"Yes"
230,Available,"HOPE FOR ANIMALS (formerly CCCARL; Clear Creek County Animal Rescue League)","P.O. Box 63",Georgetown,CO,80444,"United States","(303) 890-1806",,clearcreekrescue@yahoo.com,http://www.hfaccr.org,,Rescue,"mostly dogs and cats",,,,adoptions,No,"Yes"
231,Available,"North Toronto Cat Rescue","28 John Stiver Crescent",Markham,ON,"L3R 9A8",Canada,"(905) 940-2287",,,http://www.northtorontocatrescue.com,https://www.facebook.com/ntcr.shelter/,Rescue,cats,"GTA - Toronto, Ontario Canada",,,"adoptions; all cats will be vaccinated and spayed/neutered",No,"Yes"
238,Available,"Pet Guardian Pet Service,Inc.",,"virginia Beach",va,23454,"United States",,,petguardian@cox.net,www.petguardianpetservice.org,https://www.facebook.com/GuardianHouseinvirginiabeach?ref=hl,Rescue,"cats,dogs,bunnies,","Va Beach, VA.  Hampton VA","Application, vet references, contracts, home visits.. spay/neuter included in fees.","Mon- Sunday 11 am - 5 pm. and by appointment.","Adoptions ",No,"Yes"
240,Available,"Tender Loving Care Animal Shelter","13016 West 151st Street","Homer Glen",IL,60491,"United States","(708) 301-1594",,,,,Shelter,"dogs, cats, rabbits, birds, reptiles, guinea pigs, exotics, wildlife",,,,adoption,No,"Yes"
242,Available,"Satchel's Last Resort","8101 Coash Road",Sarasota,FL,34241,"United States","(941) 924-5070",,comments@satchelslastresort.org,http://www.satchelslastresort.org,,Shelter,Dogs,,,,Adoptions,No,"Yes"
243,Available,"Community Animal Welfare Society",,"Salt Lake City",UT,84103,"United States","(801) 328-4731",,adopt@caws.org,http://www.caws.org,,Rescue,"dogs and cats",,,,"adoptions, low income spay/neuter assistance",No,"Yes"
248,Available,"Dog Town Canine Rescue","PO Box 2978","Carson City",NV,89702,"United States","(775) 230-3703",,dogtowncaninerescue@gmail.com,http://www.dogtownrescue.com,,Rescue,"all canines",,,,"adoptions, rescue, transport, spay/neuter",No,"Yes"
251,Available,"Feathered Friends Sanctuary & Rescue, Inc.","1570 County Road A, Apt/Suite",Edgerton,WI,53534,"United States","(608) 302-1732",,rcbirdlover798@gmail.com,www.feathered-friends.com,,Rescue,"exotic birds",,,,"rescue, rehabilitation, behavior training, adoption, boarding",No,"Yes"
263,Available,"T.A.P.S. No-Kill Animal Shelter","100 TAPS Lane",Pekin,IL,61554,"United States","(309) 353-8277",,tapsshelter2@yahoo.com,http://www.tapsshelter.org,,Shelter,"dogs and cats",,,,"adoptions, low cost spay neuter program",No,"Yes"
266,Available,"Second Chance for Homeless Pets","200 E. Gordan Lane","Salt Lake City",UT,84107,"United States","(801) 590-8999",,info@utahpetadoptions.org,http://www.utahpetadoptions.org,,Rescue,"dogs, cats, some small animals",,,,"adoptions, education",No,"Yes"
267,Available,"Animal Friends Rescue Project","P.O. Box 51083","Pacific Grove",CA,93950,"United States","(831) 333-0722",,,http://www.animalfriendsrescue.org,,Rescue,"cats, dogs",,,,adoptions,No,"Yes"
268,Available,"Ok Save A Dog","990214 S. 3580 Rd",Prague,OK,74864,"United States",,,k9saver@gmail.com,http://oksaveadog.org,,Rescue,"cats, dogs, horses",,,,"adoptions, spay/neuter, rescue",No,"Yes"
269,Available,"Mendocino Animal Control - Ukiah","Plant Road",Ukiah,CA,95482,"United States","(707) 463-4427",,,http://www.co.mendocino.ca.us/animal/index.htm,,Shelter,"cats and dor",,,,"adoptions spay /neuter",No,"Yes"
271,Available,"The Humane Society of Dallas","2719 Manor Way",Dallas,TX,75235,"United States","(214) 350-7387",,adoptions@dognkittycity.org,http://www.dognkittycity.org,,Shelter,"Dogs and Cats, both feral and domesticated",,,,"Adoptions, shelter, sanctuary, foster and volunteer opps., ",No,"Yes"
273,Available,"Grayson County Humane Society","P.O. 122",Leitchfield,KY,42755,"United States",,,GraysonHumane@gmail.com,http://www.graysonhumane.org/,https://www.facebook.com/GraysonCountyHumaneSociety.SPCA,Shelter,"mainly dogs and cats, occasional rabbit",,,,"adoptions, spay/neuter, transports to rescues",No,"Yes"
276,Available,"Fayette Humane Society","P.O. Box 244",Fayetteville,GA,30214,"United States","(770) 487-1073",,info@fayettehumane.org,http://www.fayettehumane.org,www.facebook.com/fayettehumanesociety,Rescue,"Cats & dogs","Cities in Fayette County, GA, including:. - Peachtree City. - Fayetteville. - Brooks. - Tyrone. - Tyrone. . We also serve counties surrounding Fayette County.",,"Come Meet our Pets*. Visit our weekly Adoption Events to meet your new friend:. Every Saturday from 12:00 noon to 4:00 pm. Every Sunday from 12:00 pm to 4:00 pm. Location: PetSmart in Peachtree City, GA (store #1757). . Or visit our website (www.fayettehumane.org) to fill out a pre-adopt form and contact one of our volunteers about a particular pet.. . * Due to various reasons, all of our available pets may not be at every Adoption Event. If you are looking for a particular breed or personality, please ask one of our volunteers about other available animals.",Adoptions,No,"Yes"
277,Available,"Pups Rescue",,Stockton,CA,95212,"United States","(209) 956-3004",,pupsrescue@hotmail.com,http://pupsrescue.petfinder.org,,Rescue,dogs,,,,"adoptions with spay/neuter",No,"Yes"
282,Available,"Wag On Inn Rescue","PO Box 221",Oakhurst,NJ,7755,"United States",,,Wagoninnrescue@yahoo.com,,,Rescue,"dogs, sometimes cats",,,,adoptions,No,"Yes"
287,Available,"Furry Kids Refuge","PO Box 1442","Lee's Summit",MO,64063,"United States","(816) 277-8284",,admin@furrykidsrefuge.org,http://www.furrykidsrefuge.org,,Rescue,"Cats/kittens, dogs/puppies, parrots, ferrets",,,,"adoptions, spay/nueter, vacs, combo tes (cats) heartworm (dogs)deworming, flea treated, ear mites,  ",No,"Yes"
