Billy Bob;Dog;Whippet;Chihuahua;Adoption
Tyson;Cat;Domestic Short Hair;;Adoption
Teddi;Dog;Terrier;;Adoption
Whiskey;Dog;Treeing Walker Coonhound;;Adoption
Melanie;Cat;Domestic Short Hair;Torbie;Adoption
Dutchess;Dog;Chihuahua;;Adoption
Prince;Cat;Domestic Long Hair;;Adoption
Bloo;Dog;Australian Shepherd;Rhodesian Ridgeback;Adoption
TG-Haley;Dog;German Shepherd Dog;Hound;Adoption
L-Brook;Dog;Shepherd;;Adoption
L-Hershey;Dog;Akita;Chocolate Labrador Retriever;Adoption
L-Mira;Cat;Tabby;;Adoption
L-Stevie Wonder;Dog;German Shorthaired Pointer;;Adoption
TG-Zamora;Cat;Siamese;Tabby;Adoption
TG-Adrianna;Dog;Black Labrador Retriever;Boxer;Adoption
TG-Clifford;Dog;Hound;;Adoption
TG-Daisy;Dog;Black Labrador Retriever;;Adoption
TG-Drake;Dog;Boxer;American Staffordshire Terrier;Adoption
TG-Nathan;Dog;Catahoula Leopard Dog;;Adoption
TG-Precious;Dog;Catahoula Leopard Dog;Pit Bull Terrier;Adoption
TG-Reba;Dog;Catahoula Leopard Dog;;Adoption
TG-Rosie;Dog;American Staffordshire Terrier;;Adoption
TG-Suki;Dog;Catahoula Leopard Dog;Labrador Retriever;Adoption
TG-Wilbur;Dog;Staffordshire Bull Terrier;;Adoption
A Perfect Dog.;Dog;Labrador Retriever;;Adoption
April (Levein);Dog;Catahoula Leopard Dog;Dalmatian;Adoption
Gary;Cat;Domestic Medium Hair;Russian Blue;Adoption
Inca;Cat;Tuxedo;;Adoption
Noelle;Cat;Dilute Tortoiseshell;;Adoption
Shelly;Cat;Abyssinian;Tortoiseshell;Adoption
B.W.;Cat;Domestic Short Hair;;Adoption
Midnight;Cat;Domestic Short Hair;;Adoption
Crooked Tail;Cat;Tabby;;Adoption
Honeybee;Cat;Domestic Short Hair;;Adoption
Daisy;Cat;Domestic Short Hair;;Adoption
TG-Erika;Cat;Tabby;;Adoption
OK Fosters Needed;Dog;Great Pyrenees;;Adoption
Capri;Cat;Tortoiseshell;;Adoption
Julia;Cat;Calico;;Adoption
Lolly;Cat;Domestic Short Hair;;Adoption
Reeses;Cat;Domestic Short Hair;;Adoption
Barn Cats;Cat;Domestic Short Hair;;Adoption
Loopy;Cat;Tabby;Domestic Short Hair;Adoption
Nina;Dog;Rottweiler;Shar Pei;Adoption
Kiki;Cat;Domestic Short Hair;;Adoption
Angel;Cat;Domestic Short Hair;;Adoption
Helena;Cat;Tuxedo;Domestic Short Hair;Adoption
CaliMary;Cat;Calico;Domestic Short Hair;Adoption
Chole G;Cat;Domestic Short Hair;Tabby;Adoption
1 X 1 cats;Cat;Domestic Short Hair;;Adoption
Barn Cats!;Cat;Domestic Medium Hair;;Adoption
FOSTER HOMES Neede;Cat;Tabby;;Adoption
Angel;Dog;American Staffordshire Terrier;;Adoption
Sneakers;Cat;Domestic Short Hair;Tuxedo;Adoption
Bufano(VIDEO);Dog;Pit Bull Terrier;;Adoption
RD Carly;Dog;Catahoula Leopard Dog;;Adoption
Sabina;Cat;Domestic Medium Hair;;Adoption
Toast;Cat;Domestic Short Hair;;Adoption
MARIGOLD;Cat;Tabby;;Adoption
Gidget;Cat;Domestic Short Hair;Tabby;Adoption
Got Milk;Cat;Domestic Short Hair;;Adoption
Mia;Cat;Domestic Short Hair;Tabby;Adoption
Penguin;Cat;Domestic Short Hair;;Adoption
Cessper Long haired;Dog;Chihuahua;;Adoption
Alexis;Cat;Domestic Short Hair;;Adoption
Daphne;Dog;Hound;;Adoption
Maris;Dog;Hound;;Adoption
Amy;Dog;Terrier;Shepherd;Adoption
ZuZu;Dog;Spaniel;Husky;Adoption
Rocket;Dog;Labrador Retriever;Weimaraner;Adoption
Zena;Dog;American Staffordshire Terrier;Akita;Adoption
Satina;Cat;Domestic Short Hair;;Adoption
Amanda;Cat;Maine Coon;Domestic Long Hair;Adoption
Caviar;Cat;Domestic Long Hair;Maine Coon;Adoption
Chimi;Cat;Domestic Short Hair;Tabby;Adoption
Sunni;Cat;Russian Blue;Domestic Short Hair;Adoption
Trina;Cat;Tuxedo;Domestic Short Hair;Adoption
Tundra;Cat;Tiger;Tabby;Adoption
Princess;Dog;English Bulldog;American Bulldog;Adoption
Wazoo;Cat;Domestic Short Hair;;Adoption
Eli;Cat;Tuxedo;;Adoption
Manny;Dog;Shepherd;;Adoption
Chandler;Dog;Scottish Terrier Scottie;;Adoption
dixie;Dog;Chihuahua;;Adoption
dixie;Dog;Chihuahua;;Adoption
Gaz Tzu;Dog;Shih Tzu;Terrier;Adoption
Chip;Dog;English Setter;Spaniel;Adoption
Devinity;Cat;Domestic Short Hair;;Adoption
Jack;Dog;American Bulldog;;Adoption
Prissy;Dog;Pit Bull Terrier;;Adoption
Star;Dog;Shepherd;;Adoption
Carson;Dog;Pekingese;;Adoption
Tom Tom;Cat;Domestic Short Hair;Tuxedo;Adoption
Chance;Cat;Tabby;Domestic Short Hair;Adoption
Sara Lee;Cat;Tabby;;Adoption
Noel;Cat;Domestic Short Hair;;Adoption
Robbie;Cat;Bombay;;Adoption
Nip;Cat;Domestic Short Hair;;Adoption
Tigger;Cat;Domestic Medium Hair;;Adoption
Felicity;Dog;American Pit Bull Terrier;American Staffordshire Terrier;Adoption
Delilah;Cat;Calico;Domestic Short Hair;Adoption
Peachy;Dog;Shepherd;;Adoption
Borris;Dog;American Staffordshire Terrier;;Adoption
Jersey;Dog;Pit Bull Terrier;American Staffordshire Terrier;Adoption
King;Dog;Pit Bull Terrier;;Adoption
Autumn;Cat;Dilute Calico;Domestic Medium Hair;Adoption
Lauren;Cat;Tabby;Domestic Short Hair;Adoption
LV-Jenny;Cat;Tortoiseshell;;Adoption
Magic;Dog;Hound;;Adoption
Andre;Cat;Domestic Short Hair;;Adoption
Dynomite;Dog;Terrier;;Adoption
Parker **VIDEO**;Dog;Pit Bull Terrier;;Adoption
Athena;Dog;American Staffordshire Terrier;;Adoption
Whisper;Cat;Tabby;Domestic Short Hair;Adoption
Melody;Cat;Domestic Short Hair;;Adoption
Dan;Dog;Beagle;;Adoption
Ringo;Dog;Yellow Labrador Retriever;;Adoption
Hercules;Dog;American Staffordshire Terrier;;Adoption
Friskie;Cat;Domestic Short Hair;Tabby;Adoption
NADINE;Cat;Siamese;Domestic Short Hair;Adoption
Houdini (Carol);Cat;Domestic Short Hair;;Adoption
Carissa;Cat;Tabby;;Adoption
Wapi-Whoopie;Cat;Domestic Short Hair;;Adoption
Stella;Dog;German Shepherd Dog;Boxer;Adoption
Reeses;Dog;American Pit Bull Terrier;;Adoption
Dash;Dog;Beagle;;Adoption
CA - Winnie (MCR);Cat;Maine Coon;;Adoption
Izzie (cart dog);Dog;Dachshund;;Adoption
MAME;Cat;Domestic Short Hair;;Adoption
MINNOW;Cat;Domestic Short Hair;;Adoption
Fava;Cat;Tabby;Tabby;Adoption
Goober;Cat;Domestic Short Hair;;Adoption
Baby Face;Dog;Terrier;;Adoption
Carlos *;Dog;Greater Swiss Mountain Dog;Shepherd;Adoption
Chaz;Dog;American Pit Bull Terrier;;Adoption
Shelley;Cat;Domestic Short Hair;;Adoption
Theresa;Cat;Calico;;Adoption
xena;Cat;Calico;;Adoption
Tito;Cat;Tabby;Domestic Short Hair;Adoption
Zuma;Dog;American Staffordshire Terrier;;Adoption
Tiffah;Dog;Rottweiler;American Bulldog;Adoption
Gracie;Cat;Tuxedo;Domestic Short Hair;Adoption
Jewel (Carol);Cat;Domestic Short Hair;Tiger;Adoption
Enzo;Dog;Rat Terrier;Schipperke;Adoption
Oliver Stone;Cat;Domestic Short Hair;;Adoption
Carl;Cat;Domestic Short Hair;;Adoption
Fedora;Cat;Domestic Short Hair;;Adoption
Gracie;Cat;Tabby;;Adoption
Michael;Cat;Tabby;;Adoption
Q-tip;Cat;Tuxedo;;Adoption
Toohey;Cat;Domestic Short Hair;;Adoption
Misty;Cat;Domestic Short Hair;Tabby;Adoption
Timber;Cat;Domestic Short Hair;;Adoption
Ashley;Cat;Domestic Short Hair;;Adoption
Catalina;Cat;Domestic Short Hair;;Adoption
Sasha;Dog;American Bulldog;Staffordshire Bull Terrier;Adoption
Miley;Cat;Domestic Short Hair;;Adoption
Katherine;Cat;Tabby;;Adoption
Foster Homes Needed;Cat;Domestic Short Hair;;Adoption
Favor;Cat;Tabby;Domestic Short Hair;Adoption
Glen;Dog;Dachshund;;Adoption
obie;Dog;Dachshund;;Adoption
Tabith;Cat;Dilute Calico;Dilute Calico;Adoption
Cagney;Cat;Tabby;Domestic Short Hair;Adoption
JACKSON;Cat;Domestic Short Hair;;Adoption
JEDD;Cat;Domestic Short Hair;;Adoption
Kittens!;Cat;Domestic Short Hair;Domestic Long Hair;Adoption
Sophie;Cat;Domestic Short Hair;;Adoption
Slinky;Cat;Domestic Short Hair;;Adoption
Kevin;Cat;Domestic Short Hair;;Adoption
Austin;Cat;Tabby;Domestic Short Hair;Adoption
Lavry;Cat;Domestic Short Hair;Tabby;Adoption
Laptop;Cat;Domestic Short Hair;;Adoption
Shadow;Cat;Domestic Short Hair;;Adoption
Natalie;Cat;Domestic Short Hair;;Adoption
Marino;Cat;Tortoiseshell;;Adoption
Molly;Cat;Domestic Short Hair;;Adoption
Roseanna;Cat;Domestic Short Hair;;Adoption
Cricket;Cat;Domestic Short Hair;;Adoption
Mandie;Cat;Domestic Short Hair;;Adoption
Sugar Foot;Dog;Chihuahua;Dachshund;Adoption
JASPER;Cat;Tabby;;Adoption
Memphis;Dog;Collie;;Adoption
Logan;Cat;Tabby;;Adoption
Reese;Cat;Tortoiseshell;;Adoption
Kia;Dog;Terrier;Labrador Retriever;Adoption
Giselle;Cat;Domestic Short Hair;;Adoption
April;Cat;Bombay;;Adoption
Janesse;Cat;Tabby;;Adoption
Bruno;Dog;American Staffordshire Terrier;;Adoption
Duran;Dog;Australian Cattle Dog/Blue Heeler;Parson Russell Terrier;Adoption
Patches;Dog;Hound;;Adoption
Phoenix;Dog;Dachshund;;Adoption
Cricket;Cat;Tabby;;Adoption
Willow;Cat;Tuxedo;;Adoption
Olive Oyl;Cat;Domestic Short Hair;;Adoption
Smokey;Cat;Domestic Short Hair;;Adoption
Poppy;Cat;Domestic Medium Hair;;Adoption
vanna;Cat;Tortoiseshell;Tortoiseshell;Adoption
SAMMY;Dog;German Shepherd Dog;Labrador Retriever;Adoption
Linus;Cat;Domestic Short Hair;Tabby;Adoption
Lucy;Cat;Domestic Short Hair;Tabby;Adoption
tigTiggerger;Cat;Tabby;Tabby;Adoption
Sammie;Dog;Dachshund;;Adoption
Jasper;Dog;Terrier;Terrier;Adoption
Nikki;Cat;Domestic Short Hair;Tuxedo;Adoption
Bernard Fe1-7574;Cat;Domestic Short Hair;;Adoption
Bewitched FE1-7307;Cat;Domestic Short Hair;;Adoption
Bianca K91-7436;Dog;American Staffordshire Terrier;American Bulldog;Adoption
Cinnamon FE1-3737;Cat;Domestic Short Hair;;Adoption
Frank Sinatra FE2-5063;Cat;Siamese;;Adoption
Hexaba FE1-7308;Cat;Domestic Short Hair;;Adoption
Jack;Cat;Domestic Short Hair;;Adoption
Scarlett FE1-7522;Cat;Domestic Short Hair;;Adoption
Shadows FE1-7530;Cat;Domestic Short Hair;;Adoption
Peter;Cat;Domestic Short Hair;;Adoption
Spice;Cat;Domestic Short Hair;;Adoption
Tyson;Dog;Collie;Hound;Adoption
Duke- *ADOPTION SPECIAL*;Dog;Beagle;Jack Russell Terrier;Adoption
Gracie;Dog;Australian Cattle Dog/Blue Heeler;;Adoption
Maxie;Cat;Domestic Medium Hair;Tuxedo;Adoption
Bella K91-7437;Dog;American Staffordshire Terrier;American Bulldog;Adoption
Diamond;Cat;Domestic Short Hair;Tabby;Adoption
Danny Boy;Cat;Domestic Short Hair;Tabby;Adoption
Ziggy;Cat;Tabby;;Adoption
Chelsea;Dog;Hound;;Adoption
Teddy;Dog;Labrador Retriever;;Adoption
Miriam;Dog;Australian Shepherd;Black Mouth Cur;Adoption
Storm *video*;Cat;Domestic Short Hair;;Adoption
Callie;Cat;Calico;;Adoption
Orlando;Dog;Shih Tzu;;Adoption
Spice & Sugar;Dog;Terrier;;Adoption
Daisy Girl;Cat;Dilute Tortoiseshell;American Shorthair;Adoption
"Velma ""Gracie""";Cat;Domestic Short Hair;;Adoption
Pixie;Cat;Domestic Short Hair;Domestic Short Hair;Adoption
Tidbit;Cat;Domestic Short Hair;Tiger;Adoption
Sherry;Cat;Domestic Short Hair;;Adoption
Sake;Dog;Golden Retriever;Basenji;Adoption
Hope in memory 12-3-10;Dog;Pit Bull Terrier;;Adoption
Huey;Cat;Domestic Short Hair;;Adoption
Bookends anyone?;Cat;Domestic Short Hair;;Adoption
Bobo;Cat;American Shorthair;;Adoption
Shadow;Cat;American Shorthair;;Adoption
Cassidy;Cat;Calico;Domestic Short Hair;Adoption
Mamba;Dog;Shepherd;;Adoption
Flash;Dog;Hound;;Adoption
Trace;Dog;Hound;;Adoption
Wynter;Dog;Shepherd;;Adoption
Charlie;Cat;Domestic Short Hair;;Adoption
Tifa;Cat;Domestic Short Hair;;Adoption
A new family pet;Dog;Hound;;Adoption
Pepper;Cat;Tuxedo;;Adoption
**Rio**;Dog;Shepherd;;Adoption
Trixie;Dog;American Pit Bull Terrier;;Adoption
Nicky;Cat;Domestic Short Hair;;Adoption
Lee: FOSTER OR ADOPT!;Cat;Bengal;Tabby;Adoption
Pop;Cat;Tabby;Domestic Short Hair;Adoption
Fiona *F* the Tortie Girl;Cat;Tortoiseshell;Domestic Short Hair;Adoption
Stripes the Tomcat*F*;Cat;Domestic Short Hair;;Adoption
Jasmine;Cat;Domestic Short Hair;;Adoption
Belle;Cat;Domestic Short Hair;Tiger;Adoption
Gabby;Cat;Domestic Short Hair;;Adoption
Sylva;Dog;Basset Hound;Pit Bull Terrier;Adoption
Fudge;Cat;Domestic Short Hair;;Adoption
Jay;Cat;Domestic Short Hair;;Adoption
Swirl;Cat;Domestic Short Hair;;Adoption
tinker;Dog;Chihuahua;;Adoption
luna;Dog;Staffordshire Bull Terrier;;Adoption
Buddy & Cheeka;Dog;Chihuahua;;Adoption
Maximus;Cat;American Shorthair;;Adoption
Beckham;Dog;English Bulldog;Hound;Adoption
Spaz;Cat;Domestic Medium Hair;Tortoiseshell;Adoption
Toby;Dog;Doberman Pinscher;;Adoption
Foster Dog Blog;Dog;Labrador Retriever;;Adoption
Moms;Cat;Tabby;;Adoption
Afraid of Commitment;Dog;Dachshund;;Adoption
Ziggy;Dog;Boxer;Terrier;Adoption
Luz;Dog;Labrador Retriever;;Adoption
River;Dog;Vizsla;Labrador Retriever;Adoption
Momma Friskie;Cat;Domestic Short Hair;;Adoption
Cody;Dog;Shepherd;Boxer;Adoption
Graycee;Dog;Australian Cattle Dog/Blue Heeler;;Adoption
Bella;Dog;Carolina Dog;;Adoption
Fionna;Dog;Shepherd;;Adoption
Gypsy;Dog;Shepherd;;Adoption
Grady;Cat;Tabby;;Adoption
-cat;Cat;Domestic Short Hair;;Adoption
Miss Priss;Cat;Domestic Short Hair;;Adoption
Clarence;Dog;Labrador Retriever;;Adoption
Suzy;Cat;Domestic Short Hair;;Adoption
Tori;Cat;Torbie;Torbie;Adoption
Calvin;Cat;Domestic Short Hair;;Adoption
Joseph;Dog;Fox Terrier;Jack Russell Terrier (Parson Russell Terrier);Adoption
Cutie Pie;Cat;Siamese;;Adoption
Rogue;Cat;Siamese;Snowshoe;Adoption
Mozart;Dog;Dachshund;Schnauzer;Adoption
Coco Fe2-7230;Cat;Domestic Short Hair;;Adoption
Bucky;Dog;Chihuahua;Dachshund;Adoption
Izod;Dog;Poodle (Miniature);;Adoption
ComeOnYou;Cat;Domestic Short Hair;;Adoption
Keyes;Cat;Domestic Short Hair;;Adoption
Buddy;Dog;Shepherd;;Adoption
Leslie;Dog;Basset Hound;Labrador Retriever;Adoption
Arthur;Dog;English Bulldog;American Bulldog;Adoption
Ribbons;Dog;Labrador Retriever;Border Collie;Adoption
Marty;Cat;Domestic Short Hair;;Adoption
Tess;Dog;Boxer;Shepherd;Adoption
Sprinkles;Dog;Australian Cattle Dog/Blue Heeler;Terrier;Adoption
"zz ""Bebe"" courtesy listing";Cat;Tortoiseshell;Domestic Short Hair;Adoption
Ottis;Dog;Feist;;Adoption
Oscar;Dog;Rat Terrier;Rat Terrier;Adoption
Snarf *Video*;Cat;Domestic Short Hair;;Adoption
Meme;Dog;Rottweiler;Australian Shepherd;Adoption
Maggie;Dog;Rottweiler;Australian Shepherd;Adoption
Molly;Dog;Rottweiler;Australian Shepherd;Adoption
Jules;Cat;Abyssinian;;Adoption
Sally;Cat;Domestic Short Hair;;Adoption
Larry;Cat;Domestic Short Hair;Domestic Short Hair;Adoption
Missy;Dog;Terrier;;Adoption
Daymond;Dog;Shepherd;Pit Bull Terrier;Adoption
Peanut;Dog;Pit Bull Terrier;Staffordshire Bull Terrier;Adoption
Barbie;Dog;Doberman Pinscher;;Adoption
Jewels;Dog;Doberman Pinscher;;Adoption
Elsie;Dog;American Staffordshire Terrier;;Adoption
Chiclet;Cat;Calico;;Adoption
Rosie;Cat;Domestic Short Hair;;Adoption
Jack;Dog;American Bulldog;Pointer;Adoption
Adele - Updated;Cat;Tabby;Domestic Short Hair;Adoption
Moustache Girl;Cat;Domestic Short Hair;;Adoption
Rhoda;Cat;Domestic Short Hair;;Adoption
Sunshine (and Chung Wang);Cat;Domestic Short Hair;Tabby;Adoption
Lenny;Dog;Great Dane;Hound;Adoption
Onyx;Cat;Domestic Short Hair;;Adoption
Fluffy;Cat;Domestic Medium Hair;;Adoption
Jet;Cat;Domestic Medium Hair;;Adoption
Tatiana;Cat;Tuxedo;Domestic Short Hair;Adoption
& MORE Cats! Not On the Web Yet!;Cat;Domestic Long Hair;Domestic Short Hair;Adoption
Georgette;Cat;Domestic Short Hair;;Adoption
Bugsy;Dog;Pit Bull Terrier;;Adoption
Rolo;Dog;Terrier;;Adoption
Black Cats;Cat;Domestic Short Hair;;Adoption
Bertha;Dog;Terrier;Catahoula Leopard Dog;Adoption
Twilight;Cat;Dilute Tortoiseshell;Siamese;Adoption
Patrick;Cat;Tabby;Domestic Short Hair;Adoption
Bean;Dog;Chihuahua;;Adoption
Charlie;Dog;Chihuahua;;Adoption
Macey;Cat;Domestic Short Hair;;Adoption
Mercury;Cat;Tabby;Domestic Short Hair;Adoption
McGee;Cat;American Shorthair;Domestic Short Hair;Adoption
Fletcher;Dog;Hound;;Adoption
Muffin;Cat;Domestic Long Hair;Maine Coon;Adoption
Jordon;Dog;Doberman Pinscher;;Adoption
Amber in MA;Dog;Great Pyrenees;;Adoption
Corky;Cat;Domestic Short Hair;Tabby;Adoption
Jada;Cat;Domestic Short Hair;;Adoption
Sprite *Video*;Cat;Domestic Short Hair;;Adoption
Asia;Dog;Cattle Dog;;Adoption
Sally FE2-7771;Cat;Domestic Short Hair;;Adoption
Tom FE2-7768;Cat;Domestic Short Hair;;Adoption
Sunflower FE1-7322;Cat;Domestic Short Hair;;Adoption
KIT KIT;Cat;Domestic Short Hair;;Adoption
Popeye;Cat;Siamese;Snowshoe;Adoption
Delphi;Cat;Domestic Short Hair;Tuxedo;Adoption
Little John II;Cat;Tabby;Siamese;Adoption
Eva;Dog;Black Labrador Retriever;;Adoption
Pluto;Cat;Domestic Medium Hair;;Adoption
Katie II;Cat;Siamese;;Adoption
Penguin;Cat;Domestic Short Hair;;Adoption
Margarita;Cat;Domestic Short Hair;;Adoption
farm kitties;Cat;Domestic Short Hair;;Adoption
Robbie;Dog;American Staffordshire Terrier;Australian Cattle Dog/Blue Heeler;Adoption
SSPCA Jiggy;Dog;American Staffordshire Terrier;;Adoption
Mallory;Cat;Domestic Short Hair;;Adoption
Slim;Cat;Domestic Short Hair;Tuxedo;Adoption
Sampson & Velvet;Cat;Domestic Short Hair;;Adoption
Faith;Cat;Calico;Domestic Medium Hair;Adoption
Ziggy;Cat;Domestic Short Hair;;Adoption
Lola;Dog;Terrier;;Adoption
Leonardo De Catio;Cat;Tuxedo;Domestic Medium Hair;Adoption
BANDITA;Cat;Tuxedo;Domestic Medium Hair;Adoption
Trigger K91-7773;Dog;Doberman Pinscher;Terrier;Adoption
Remington K91-7777;Dog;Labrador Retriever;;Adoption
Ruger K91-7774;Dog;Terrier;Chihuahua;Adoption
Piper;Dog;Pointer;;Adoption
Channing;Cat;Dilute Calico;;Adoption
Bubbles;Cat;Domestic Long Hair;Tabby;Adoption
Pepper;Dog;Hound;;Adoption
Sable;Dog;Labrador Retriever;American Staffordshire Terrier;Adoption
Nikki;Dog;American Staffordshire Terrier;;Adoption
Hillary;Dog;Dachshund;;Adoption
Visit Our Cat Room;Cat;Domestic Short Hair;;Adoption
Arthur;Cat;Domestic Short Hair;Tabby;Adoption
Gizelle;Dog;Staffordshire Bull Terrier;Boxer;Adoption
Summer *Video*;Cat;Domestic Short Hair;;Adoption
Starry;Cat;Tortoiseshell;;Adoption
Daphne;Dog;Canaan Dog;;Adoption
Timmy;Cat;Siamese;;Adoption
Jazzy;Dog;Spaniel;Shar Pei;Adoption
Tommy;Cat;Domestic Short Hair;Tabby;Adoption
Vinnie;Cat;Tabby;Domestic Short Hair;Adoption
Valentine;Cat;Tuxedo;Domestic Short Hair;Adoption
Troy;Cat;American Shorthair;Tabby;Adoption
Sparrow;Cat;Domestic Short Hair;Calico;Adoption
Carlos companion;Dog;German Shepherd Dog;;Adoption
Amber;Cat;Domestic Short Hair;Domestic Short Hair;Adoption
Dango 08-3514;Cat;Domestic Short Hair;;Adoption
Autumn;Cat;Calico;;Adoption
Georgette-New Pics!;Cat;Domestic Short Hair;Tabby;Adoption
Sarah-New Pics!;Cat;Domestic Short Hair;Tabby;Adoption
Ilean;Dog;American Pit Bull Terrier;;Adoption
Savannah;Cat;Domestic Short Hair;;Adoption
Alexis;Dog;Black Labrador Retriever;American Bulldog;Adoption
Aiden;Cat;Siamese;;Adoption
Bailey;Dog;Cattle Dog;Labrador Retriever;Adoption
Claire;Cat;Domestic Short Hair;Tabby;Adoption
Betsy;Cat;Domestic Short Hair;;Adoption
Dolce;Dog;German Shepherd Dog;;Adoption
Gizmo;Cat;Domestic Short Hair;Tabby;Adoption
Zoe *Video;Cat;Domestic Short Hair;;Adoption
Rielle;Cat;Domestic Medium Hair;;Adoption
Louis;Cat;Domestic Short Hair;;Adoption
Gardner;Cat;Domestic Short Hair;;Adoption
Iggy -Pending Medical Care;Dog;Rat Terrier;Poodle (unknown type);Adoption
Rokkie 30 pounds;Dog;Schnauzer;;Adoption
Douglas;Cat;Applehead Siamese;;Adoption
Sheena FE1-7783;Cat;Domestic Short Hair;;Adoption
Brownie;Dog;Australian Cattle Dog/Blue Heeler;Cattle Dog;Adoption
Narissa;Cat;Domestic Short Hair;;Adoption
Sparkle;Dog;Dalmatian;Labrador Retriever;Adoption
Big Dorito;Dog;Basenji;;Adoption
Stella;Cat;Domestic Short Hair;;Adoption
Roxie;Dog;Chocolate Labrador Retriever;Shar Pei;Adoption
Chessie;Dog;Chocolate Labrador Retriever;;Adoption
Sammy;Dog;Boston Terrier;Black Labrador Retriever;Adoption
Pepita;Cat;Tabby;;Adoption
Lucky;Dog;Doberman Pinscher;Chocolate Labrador Retriever;Adoption
Pete;Dog;Doberman Pinscher;;Adoption
Winston;Dog;Doberman Pinscher;;Adoption
Doodles;Dog;Doberman Pinscher;;Adoption
Button Nose;Cat;Domestic Short Hair;;Adoption
Pistol Pete;Dog;Chihuahua;Rat Terrier;Adoption
Annie Oakley;Dog;Rat Terrier;Chihuahua;Adoption
Romeo;Cat;Domestic Short Hair;;Adoption
Critter;Cat;Domestic Short Hair;;Adoption
Chubbs-Miracle Boy!;Dog;Beagle;;Adoption
AA-Parker;Dog;Australian Cattle Dog/Blue Heeler;;Adoption
Sookie;Dog;Shepherd;;Adoption
Mabell;Cat;Domestic Short Hair;Tabby;Adoption
Tazz;Cat;Domestic Short Hair;;Adoption
*Riley*;Cat;Domestic Short Hair;;Adoption
